Radius,Mass,Period,SemiMajorAxis,EqTemp,Density,StarTemp,StarLum,StarMet,Insolation,Target_Habitable,Habitability_Score,Log_Period,Star_Type_G,Star_Type_K,Star_Type_M,Star_Type_Other
2.43,1144.1822652,25.2,0.17,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,3.265759410767051,False,False,False,True
12.44196858,2542.627256,11.12522242,0.115,912.0,1.527272,3406.0,-1.732,0.0,62.3,0,0.03818985978069384,2.495287780572825,False,False,True,False
24.66,5403.0,11.12522242,440.0,2600.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.0001087575022806201,2.495287780572825,False,False,False,True
16.7,327.35,1.5089557,0.115,1898.0,0.38,5950.0,-0.10297,-0.3,62.3,0,0.0012447141358765295,0.919866610791581,True,False,False,False
10.87,874.0,13.2406,0.1055,600.0,3.7,5075.0,-0.10297,0.26,62.3,0,0.11283904261178557,2.6560970399276433,False,True,False,False
16.03,740.51,2.99433,0.0436,1657.0,0.99,6440.0,-0.10297,-0.03,62.3,0,0.002874001183280052,1.384875855516358,False,False,False,False
16.14,291.438,2.828042,0.04016,1442.0,0.411,5675.0,-0.10297,0.16,62.3,0,0.006063051169612752,1.342353445317352,False,False,False,True
9.92,415.704,4.03519,0.051,1700.0,2.34,5945.0,-0.10297,0.01,62.3,0,0.002519871688419916,1.616451261307603,True,False,False,False
12.22,2415.4,1.51214,0.027,1952.0,7.3,6035.0,-0.10297,0.05,62.3,0,0.0010363300937357856,0.9211349795370315,False,False,False,False
13.11,170.032,5.35227,0.0618,912.0,0.44,5650.0,-0.10297,0.19,62.3,0,0.03818811606261612,1.8488122293386968,True,False,False,False
11.43,772.29,3.7681,0.0461,1626.0,2.82,5740.0,-0.10297,0.0,62.3,0,0.0032103527070708265,1.5619479026974776,True,False,False,False
14.68,1102.82,1.9000693,0.0295,1550.0,2.2,5440.0,-0.10297,-0.1,62.3,0,0.004167390847125083,1.0647346332586345,True,False,False,False
14.46,352.78,3.89713,0.0518,2000.0,0.71,6090.0,0.544,-0.02,62.3,0,0.0008739282024423065,1.5886493192332465,False,False,False,False
16.432,1102.82,1.7429935,0.02798,912.0,1.47,5625.0,-0.10297,0.02,62.3,0,0.038186347529114185,1.009049842284412,False,False,False,True
2.43,1366.669,9.24285,0.09,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,2.3265799011999486,False,False,False,True
